REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S04B1","SEE2",2033,12.377279398
"REGION1","S04B1","SEE2",2034,12.446180696
"REGION1","S04B1","SEE2",2035,12.515081994
"REGION1","S04B1","SEE2",2036,12.594896154
"REGION1","S04B1","SEE2",2037,12.674734948
"REGION1","S04B1","SEE2",2038,12.754573742
"REGION1","S04B1","SEE2",2039,12.834387902
"REGION1","S04B1","SEE2",2040,12.914226696
"REGION1","S04B1","SEE2",2041,13.037987912
"REGION1","S04B1","SEE2",2042,13.161749128
"REGION1","S04B1","SEE2",2043,13.285510344
"REGION1","S04B1","SEE2",2044,13.40927156
"REGION1","S04B1","SEE2",2045,13.53305741
"REGION1","S04B1","SEE2",2046,13.642998952
"REGION1","S04B1","SEE2",2047,13.752940494
"REGION1","S04B1","SEE2",2048,13.862882036
"REGION1","S04B1","SEE2",2049,13.972823578
"REGION1","S04B1","SEE2",2050,14.08276512
"REGION1","S04B1","SEE2",2051,14.141591112
"REGION1","S04B1","SEE2",2052,14.20063881
"REGION1","S04B1","SEE2",2053,14.259908214
"REGION1","S04B1","SEE2",2054,14.319448592
"REGION1","S04B1","SEE2",2055,14.379186042
"REGION1","S04B1","SEE2",2056,14.42419236
"REGION1","S04B1","SEE2",2057,14.469321848
"REGION1","S04B1","SEE2",2058,14.51459914
"REGION1","S04B1","SEE2",2059,14.559999602
"REGION1","S04B1","SEE2",2060,14.605547868
"REGION1","S04B2","SEE2",2015,34.590449349
"REGION1","S04B2","SEE2",2016,34.951437777
"REGION1","S04B2","SEE2",2017,35.312504886
"REGION1","S04B2","SEE2",2018,35.673571995
"REGION1","S04B2","SEE2",2019,36.034560423
"REGION1","S04B2","SEE2",2020,36.395627532
"REGION1","S04B2","SEE2",2021,36.622936941
"REGION1","S04B2","SEE2",2022,36.85024635
"REGION1","S04B2","SEE2",2023,37.077555759
"REGION1","S04B2","SEE2",2024,37.304865168
"REGION1","S04B2","SEE2",2025,37.532174577
"REGION1","S04B2","SEE2",2026,37.800319425
"REGION1","S04B2","SEE2",2027,38.068464273
"REGION1","S04B2","SEE2",2028,38.336609121
"REGION1","S04B2","SEE2",2029,38.604753969
"REGION1","S04B2","SEE2",2030,38.872898817
"REGION1","S04B2","SEE2",2031,39.092969574
"REGION1","S04B2","SEE2",2032,39.313040331
"REGION1","S04B2","SEE2",2033,39.533032407
"REGION1","S04B2","SEE2",2034,39.753103164
"REGION1","S04B2","SEE2",2035,39.973173921
"REGION1","S04B2","SEE2",2036,40.228100361
"REGION1","S04B2","SEE2",2037,40.483105482
"REGION1","S04B2","SEE2",2038,40.738110603
"REGION1","S04B2","SEE2",2039,40.993037043
"REGION1","S04B2","SEE2",2040,41.248042164
"REGION1","S04B2","SEE2",2041,41.643335508
"REGION1","S04B2","SEE2",2042,42.038628852
"REGION1","S04B2","SEE2",2043,42.433922196
"REGION1","S04B2","SEE2",2044,42.82921554
"REGION1","S04B2","SEE2",2045,43.224587565
"REGION1","S04B2","SEE2",2046,43.575740868
"REGION1","S04B2","SEE2",2047,43.926894171
"REGION1","S04B2","SEE2",2048,44.278047474
"REGION1","S04B2","SEE2",2049,44.629200777
"REGION1","S04B2","SEE2",2050,44.98035408
"REGION1","S04B2","SEE2",2051,45.168244308
"REGION1","S04B2","SEE2",2052,45.356842665
"REGION1","S04B2","SEE2",2053,45.546149151
"REGION1","S04B2","SEE2",2054,45.736321128
"REGION1","S04B2","SEE2",2055,45.927122553
"REGION1","S04B2","SEE2",2056,46.07087274
"REGION1","S04B2","SEE2",2057,46.215016332
"REGION1","S04B2","SEE2",2058,46.35963201
"REGION1","S04B2","SEE2",2059,46.504641093
"REGION1","S04B2","SEE2",2060,46.650122262
"REGION1","S04B3","SEE2",2015,6.1079855115
"REGION1","S04B3","SEE2",2016,6.1717288895
"REGION1","S04B3","SEE2",2017,6.235486161
"REGION1","S04B3","SEE2",2018,6.2992434325
"REGION1","S04B3","SEE2",2019,6.3629868105
"REGION1","S04B3","SEE2",2020,6.426744082
"REGION1","S04B3","SEE2",2021,6.4668824035
"REGION1","S04B3","SEE2",2022,6.507020725
"REGION1","S04B3","SEE2",2023,6.5471590465
"REGION1","S04B3","SEE2",2024,6.587297368
"REGION1","S04B3","SEE2",2025,6.6274356895
"REGION1","S04B3","SEE2",2026,6.6747847375
"REGION1","S04B3","SEE2",2027,6.7221337855
"REGION1","S04B3","SEE2",2028,6.7694828335
"REGION1","S04B3","SEE2",2029,6.8168318815
"REGION1","S04B3","SEE2",2030,6.8641809295
"REGION1","S04B3","SEE2",2031,6.903041049
"REGION1","S04B3","SEE2",2032,6.9419011685
"REGION1","S04B3","SEE2",2033,6.9807473945
"REGION1","S04B3","SEE2",2034,7.019607514
"REGION1","S04B3","SEE2",2035,7.0584676335
"REGION1","S04B3","SEE2",2036,7.1034825735
"REGION1","S04B3","SEE2",2037,7.148511407
"REGION1","S04B3","SEE2",2038,7.1935402405
"REGION1","S04B3","SEE2",2039,7.2385551805
"REGION1","S04B3","SEE2",2040,7.283584014
"REGION1","S04B3","SEE2",2041,7.353384958
"REGION1","S04B3","SEE2",2042,7.423185902
"REGION1","S04B3","SEE2",2043,7.492986846
"REGION1","S04B3","SEE2",2044,7.56278779
"REGION1","S04B3","SEE2",2045,7.6326026275
"REGION1","S04B3","SEE2",2046,7.694609318
"REGION1","S04B3","SEE2",2047,7.7566160085
"REGION1","S04B3","SEE2",2048,7.818622699
"REGION1","S04B3","SEE2",2049,7.8806293895
"REGION1","S04B3","SEE2",2050,7.94263608
"REGION1","S04B3","SEE2",2051,7.975813758
"REGION1","S04B3","SEE2",2052,8.0091164775
